CUI1,VER_START,VER_END,Cardinality,CUI2,Code Set,Version Month
102675,RXNORM_10AA_100607F,RXNORM_10AA_100607F,1,994862,RxNorm,2024-02-05
102676,RXNORM_10AA_100607F,RXNORM_10AA_100607F,1,994860,RxNorm,2024-02-05
102678,RXNORM_15AB_160307F,RXNORM_15AB_160307F,1,102678,RxNorm,2024-02-05
102702,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,1091413,RxNorm,2024-02-05
102723,RXNORM_05AA_050617F,RXNORM_09AA_090803F,1,102723,RxNorm,2024-02-05
102760,RXNORM_15AA_150504F,RXNORM_15AA_150504F,1,102760,RxNorm,2024-02-05
102769,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,102769,RxNorm,2024-02-05
102772,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,102772,RxNorm,2024-02-05
102773,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,102773,RxNorm,2024-02-05
102774,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,102774,RxNorm,2024-02-05
102775,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,102775,RxNorm,2024-02-05
102807,RXNORM_16AB_170103F,RXNORM_16AB_170103F,1,102807,RxNorm,2024-02-05
102817,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,102817,RxNorm,2024-02-05
102818,RXNORM_04AC_050210F,RXNORM_09AA_090706F,1,855613,RxNorm,2024-02-05
102860,RXNORM_10AB_110103F,RXNORM_10AB_110103F,1,1085756,RxNorm,2024-02-05
102861,RXNORM_16AA_160502F,RXNORM_16AA_160502F,1,102861,RxNorm,2024-02-05
102886,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,1088334,RxNorm,2024-02-05
102887,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,1088336,RxNorm,2024-02-05
102888,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,1088338,RxNorm,2024-02-05
102889,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,1088330,RxNorm,2024-02-05
102902,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,102902,RxNorm,2024-02-05
102903,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,102903,RxNorm,2024-02-05
102912,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,102912,RxNorm,2024-02-05
102915,RXNORM_10AB_110502F,RXNORM_10AB_110502F,1,102915,RxNorm,2024-02-05
102917,RXNORM_17AA_170905F,RXNORM_18AB_190107F,1,102917,RxNorm,2024-02-05
102918,RXNORM_10AA_100706F,RXNORM_10AA_100706F,1,998541,RxNorm,2024-02-05
102920,RXNORM_17AA_170905F,RXNORM_18AB_190107F,1,102920,RxNorm,2024-02-05
102929,RXNORM_17AA_170905F,RXNORM_18AB_190107F,1,102929,RxNorm,2024-02-05
102930,RXNORM_17AA_170905F,RXNORM_18AB_190107F,1,102930,RxNorm,2024-02-05
102934,RXNORM_17AA_170905F,RXNORM_20AA_200601F,1,102934,RxNorm,2024-02-05
102941,RXNORM_10AB_110307F,RXNORM_10AB_110307F,1,1094109,RxNorm,2024-02-05
102952,RXNORM_11AA_110906F,RXNORM_11AA_111003F,1,1191140,RxNorm,2024-02-05
102955,RXNORM_15AA_150706F,RXNORM_15AA_150706F,1,102955,RxNorm,2024-02-05
102957,RXNORM_15AA_150706F,RXNORM_15AA_150706F,1,102957,RxNorm,2024-02-05
102959,RXNORM_15AA_150706F,RXNORM_15AA_150706F,1,102959,RxNorm,2024-02-05
102963,RXNORM_15AB_160201F,RXNORM_15AB_160201F,1,102963,RxNorm,2024-02-05
102964,RXNORM_15AB_160201F,RXNORM_15AB_160201F,1,102964,RxNorm,2024-02-05
102965,RXNORM_15AB_160201F,RXNORM_15AB_160201F,1,102965,RxNorm,2024-02-05
102967,RXNORM_15AB_160201F,RXNORM_15AB_160201F,1,102967,RxNorm,2024-02-05
102968,RXNORM_15AB_160201F,RXNORM_15AB_160201F,1,102968,RxNorm,2024-02-05
102970,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,102970,RxNorm,2024-02-05
102976,RXNORM_12AB_121105F,RXNORM_12AB_121105F,1,1359190,RxNorm,2024-02-05
102985,RXNORM_14AA_141006F,RXNORM_14AA_141006F,1,1539971,RxNorm,2024-02-05
102992,RXNORM_05AA_050617F,RXNORM_09AA_090504F,1,756221,RxNorm,2024-02-05
103009,RXNORM_16AB_170103F,RXNORM_16AB_170103F,1,103009,RxNorm,2024-02-05
103011,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103011,RxNorm,2024-02-05
103014,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103014,RxNorm,2024-02-05
103015,RXNORM_16AB_170103F,RXNORM_16AB_170103F,1,103015,RxNorm,2024-02-05
103017,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103017,RxNorm,2024-02-05
103018,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103018,RxNorm,2024-02-05
103025,RXNORM_11AB_120402F,RXNORM_11AB_120402F,1,103025,RxNorm,2024-02-05
103031,RXNORM_09AB_100301F,RXNORM_09AB_100301F,1,904183,RxNorm,2024-02-05
103032,RXNORM_09AB_100301F,RXNORM_09AB_100301F,1,412515,RxNorm,2024-02-05
103034,RXNORM_16AB_170306F,RXNORM_16AB_170306F,1,103034,RxNorm,2024-02-05
103078,RXNORM_15AB_160307F,RXNORM_15AB_160307F,1,107271,RxNorm,2024-02-05
103099,RXNORM_05AA_050617F,RXNORM_09AB_100104F,1,896827,RxNorm,2024-02-05
103106,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103106,RxNorm,2024-02-05
103107,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103107,RxNorm,2024-02-05
103109,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103109,RxNorm,2024-02-05
103110,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103110,RxNorm,2024-02-05
103111,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103111,RxNorm,2024-02-05
103112,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103112,RxNorm,2024-02-05
103113,RXNORM_17AA_170905F,RXNORM_19AB_200106F,1,103113,RxNorm,2024-02-05
103163,RXNORM_12AB_130401F,RXNORM_12AB_130401F,1,103163,RxNorm,2024-02-05
103171,RXNORM_10AA_100607F,RXNORM_10AA_100607F,1,994523,RxNorm,2024-02-05
103184,RXNORM_11AB_120402F,RXNORM_11AB_120402F,1,103184,RxNorm,2024-02-05
103193,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103193,RxNorm,2024-02-05
103207,RXNORM_10AA_101004F,RXNORM_10AA_101004F,1,1006727,RxNorm,2024-02-05
103208,RXNORM_10AA_101004F,RXNORM_10AA_101004F,1,1000868,RxNorm,2024-02-05
103209,RXNORM_10AA_101004F,RXNORM_10AA_101004F,1,1000874,RxNorm,2024-02-05
103229,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,103229,RxNorm,2024-02-05
103242,RXNORM_10AA_100503F,RXNORM_10AA_100503F,1,991002,RxNorm,2024-02-05
103243,RXNORM_10AA_100503F,RXNORM_10AA_100503F,1,991003,RxNorm,2024-02-05
103245,RXNORM_05AA_050617F,RXNORM_09AB_091102F,1,103245,RxNorm,2024-02-05
103267,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103267,RxNorm,2024-02-05
103268,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103268,RxNorm,2024-02-05
103269,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103269,RxNorm,2024-02-05
103270,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103270,RxNorm,2024-02-05
103274,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,103274,RxNorm,2024-02-05
103281,RXNORM_11AB_120305F,RXNORM_11AB_120305F,1,103281,RxNorm,2024-02-05
103282,RXNORM_11AB_120305F,RXNORM_11AB_120305F,1,103282,RxNorm,2024-02-05
103284,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103284,RxNorm,2024-02-05
103285,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103285,RxNorm,2024-02-05
103286,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103286,RxNorm,2024-02-05
103287,RXNORM_13AB_140407F,RXNORM_13AB_140407F,1,103288,RxNorm,2024-02-05
103288,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103288,RxNorm,2024-02-05
103293,RXNORM_10AA_100802F,RXNORM_10AA_100802F,1,1001779,RxNorm,2024-02-05
103294,RXNORM_10AA_100802F,RXNORM_10AA_100802F,1,1001777,RxNorm,2024-02-05
103296,RXNORM_11AB_120402F,RXNORM_11AB_120402F,1,103296,RxNorm,2024-02-05
103297,RXNORM_11AB_120402F,RXNORM_11AB_120402F,1,103297,RxNorm,2024-02-05
103306,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103306,RxNorm,2024-02-05
103398,RXNORM_13AB_131202F,RXNORM_13AB_131202F,1,103398,RxNorm,2024-02-05
103441,RXNORM_11AA_110906F,RXNORM_11AA_110906F,1,103441,RxNorm,2024-02-05
103442,RXNORM_11AA_110906F,RXNORM_11AA_110906F,1,103442,RxNorm,2024-02-05
103450,RXNORM_11AA_110906F,RXNORM_11AA_111003F,1,103450,RxNorm,2024-02-05
103451,RXNORM_11AA_110906F,RXNORM_11AA_111003F,1,1191260,RxNorm,2024-02-05
103452,RXNORM_11AB_120402F,RXNORM_11AB_120402F,1,1191348,RxNorm,2024-02-05
103453,RXNORM_11AB_120402F,RXNORM_11AB_120402F,1,1191346,RxNorm,2024-02-05
103454,RXNORM_11AB_120305F,RXNORM_11AB_120305F,1,1191302,RxNorm,2024-02-05
103455,RXNORM_11AB_120305F,RXNORM_11AB_120305F,1,1191371,RxNorm,2024-02-05
103469,RXNORM_12AB_121105F,RXNORM_12AB_121105F,1,1358754,RxNorm,2024-02-05
103490,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,103490,RxNorm,2024-02-05
103491,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,103491,RxNorm,2024-02-05
103492,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,103492,RxNorm,2024-02-05
103493,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,103493,RxNorm,2024-02-05
103495,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,103495,RxNorm,2024-02-05
103579,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103579,RxNorm,2024-02-05
103580,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103580,RxNorm,2024-02-05
103581,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103581,RxNorm,2024-02-05
103587,RXNORM_04AC_041117C,RXNORM_09AA_091005F,1,857366,RxNorm,2024-02-05
103589,RXNORM_04AC_050210F,RXNORM_09AA_091005F,1,857473,RxNorm,2024-02-05
103590,RXNORM_11AA_111107F,RXNORM_11AA_111107F,1,857471,RxNorm,2024-02-05
103595,RXNORM_15AB_160307F,RXNORM_15AB_160307F,1,103595,RxNorm,2024-02-05
103635,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,1091407,RxNorm,2024-02-05
103640,RXNORM_17AA_170905F,RXNORM_19AA_190903F,1,103640,RxNorm,2024-02-05
103646,RXNORM_17AA_170905F,RXNORM_19AA_190903F,1,103646,RxNorm,2024-02-05
103673,RXNORM_14AA_140602F,RXNORM_14AA_140602F,1,103673,RxNorm,2024-02-05
103747,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,103747,RxNorm,2024-02-05
103756,RXNORM_15AB_160307F,RXNORM_15AB_160307F,1,103756,RxNorm,2024-02-05
103770,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,103770,RxNorm,2024-02-05
103775,RXNORM_14AA_140602F,RXNORM_14AA_140602F,1,103775,RxNorm,2024-02-05
103785,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,103785,RxNorm,2024-02-05
103788,RXNORM_11AA_110906F,RXNORM_11AA_110906F,1,103788,RxNorm,2024-02-05
103790,RXNORM_11AB_120305F,RXNORM_11AB_120305F,1,103790,RxNorm,2024-02-05
103801,RXNORM_04AC_050210F,RXNORM_08AB_090302F,1,834297,RxNorm,2024-02-05
103819,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103819,RxNorm,2024-02-05
103820,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103820,RxNorm,2024-02-05
103821,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103821,RxNorm,2024-02-05
103829,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,103829,RxNorm,2024-02-05
103841,RXNORM_17AA_170905F,RXNORM_18AB_190107F,1,103841,RxNorm,2024-02-05
103847,RXNORM_16AB_170206F,RXNORM_16AB_170206F,1,103847,RxNorm,2024-02-05
103848,RXNORM_10AA_100802F,RXNORM_10AA_100802F,1,1000139,RxNorm,2024-02-05
103854,RXNORM_12AB_130107F,RXNORM_12AB_130107F,1,1366343,RxNorm,2024-02-05
103862,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,103862,RxNorm,2024-02-05
103870,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,103870,RxNorm,2024-02-05
103874,RXNORM_15AA_150706F,RXNORM_15AA_150706F,1,103874,RxNorm,2024-02-05
103896,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,1088462,RxNorm,2024-02-05
103900,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103900,RxNorm,2024-02-05
103901,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103901,RxNorm,2024-02-05
103906,RXNORM_16AA_160801F,RXNORM_16AA_160801F,1,103906,RxNorm,2024-02-05
103913,RXNORM_09AB_100301F,RXNORM_09AB_100301F,1,103913,RxNorm,2024-02-05
103914,RXNORM_10AA_101004F,RXNORM_10AA_101004F,1,103914,RxNorm,2024-02-05
103924,RXNORM_10AA_101004F,RXNORM_10AA_101004F,1,1020021,RxNorm,2024-02-05
103928,RXNORM_09AB_100405F,RXNORM_09AB_100405F,1,895233,RxNorm,2024-02-05
103929,RXNORM_09AB_100405F,RXNORM_09AB_100405F,1,895219,RxNorm,2024-02-05
103930,RXNORM_09AB_100405F,RXNORM_09AB_100405F,1,895240,RxNorm,2024-02-05
103931,RXNORM_11AB_111205F,RXNORM_11AB_111205F,1,103931,RxNorm,2024-02-05
103962,RXNORM_04AC_041117C,RXNORM_09AB_100104F,1,895987,RxNorm,2024-02-05
103963,RXNORM_10AB_110404F,RXNORM_10AB_110404F,1,103963,RxNorm,2024-02-05
103964,RXNORM_10AB_110404F,RXNORM_10AB_110404F,1,103964,RxNorm,2024-02-05
103965,RXNORM_10AB_110404F,RXNORM_10AB_110404F,1,103965,RxNorm,2024-02-05
103969,RXNORM_04AC_050210F,RXNORM_09AA_091005F,1,836466,RxNorm,2024-02-05
103987,RXNORM_16AA_160502F,RXNORM_16AA_160502F,1,1360522,RxNorm,2024-02-05
104041,RXNORM_10AA_101004F,RXNORM_10AA_101004F,1,991082,RxNorm,2024-02-05
104042,RXNORM_10AB_110103F,RXNORM_10AB_110103F,1,104042,RxNorm,2024-02-05
104043,RXNORM_10AB_110103F,RXNORM_10AB_110103F,1,104043,RxNorm,2024-02-05
104072,RXNORM_14AA_140505F,RXNORM_14AA_140505F,1,1537223,RxNorm,2024-02-05
104073,RXNORM_14AA_140505F,RXNORM_14AA_140505F,1,104073,RxNorm,2024-02-05
104107,RXNORM_10AA_100706F,RXNORM_10AA_100706F,1,997019,RxNorm,2024-02-05
104109,RXNORM_10AA_100503F,RXNORM_10AA_100503F,1,978009,RxNorm,2024-02-05
104117,RXNORM_05AA_050617F,RXNORM_09AA_091005F,1,208437,RxNorm,2024-02-05
104124,RXNORM_09AB_100301F,RXNORM_09AB_100301F,1,905164,RxNorm,2024-02-05
104137,RXNORM_11AB_120305F,RXNORM_11AB_120305F,1,104137,RxNorm,2024-02-05
104138,RXNORM_11AB_120305F,RXNORM_11AB_120305F,1,755732,RxNorm,2024-02-05
104139,RXNORM_11AB_120206F,RXNORM_11AB_120206F,1,104139,RxNorm,2024-02-05
104140,RXNORM_11AA_111107F,RXNORM_11AA_111107F,1,249956,RxNorm,2024-02-05
104194,RXNORM_04AC_050210F,RXNORM_09AA_090803F,1,858327,RxNorm,2024-02-05
104273,RXNORM_17AA_170905F,RXNORM_18AB_190401F,1,104273,RxNorm,2024-02-05
104274,RXNORM_09AB_100405F,RXNORM_09AB_100405F,1,901450,RxNorm,2024-02-05
104287,RXNORM_04AC_050210F,RXNORM_09AA_090803F,1,857894,RxNorm,2024-02-05
104297,RXNORM_04AC_050210F,RXNORM_09AA_090706F,1,856445,RxNorm,2024-02-05
104301,RXNORM_17AA_170905F,RXNORM_19AA_190805F,1,104301,RxNorm,2024-02-05
104302,RXNORM_10AA_100706F,RXNORM_10AA_100706F,1,998691,RxNorm,2024-02-05
104303,RXNORM_17AA_170905F,RXNORM_19AA_190805F,1,104303,RxNorm,2024-02-05
104309,RXNORM_04AC_050210F,RXNORM_09AB_100104F,1,896777,RxNorm,2024-02-05
104310,RXNORM_04AC_050210F,RXNORM_09AB_100104F,1,896781,RxNorm,2024-02-05
104312,RXNORM_12AB_130204F,RXNORM_12AB_130204F,1,104312,RxNorm,2024-02-05
104313,RXNORM_12AB_130204F,RXNORM_12AB_130204F,1,104313,RxNorm,2024-02-05
104319,RXNORM_10AA_101004F,RXNORM_10AA_101004F,1,904634,RxNorm,2024-02-05
104320,RXNORM_10AA_101004F,RXNORM_10AA_101004F,1,904632,RxNorm,2024-02-05
104336,RXNORM_11AA_110906F,RXNORM_11AA_111003F,1,1191191,RxNorm,2024-02-05
104341,RXNORM_10AA_100503F,RXNORM_10AA_100503F,1,977949,RxNorm,2024-02-05
104346,RXNORM_10AA_100706F,RXNORM_10AA_100706F,1,998694,RxNorm,2024-02-05
104347,RXNORM_10AA_100503F,RXNORM_10AA_100503F,1,977920,RxNorm,2024-02-05
104395,RXNORM_10AA_100607F,RXNORM_10AA_100607F,1,995023,RxNorm,2024-02-05
104397,RXNORM_10AB_110404F,RXNORM_10AB_110404F,1,104397,RxNorm,2024-02-05
104400,RXNORM_17AA_170905F,RXNORM_18AB_190401F,1,104400,RxNorm,2024-02-05
104404,RXNORM_14AA_140505F,RXNORM_14AA_140505F,1,104404,RxNorm,2024-02-05
104406,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,104406,RxNorm,2024-02-05
104407,RXNORM_17AA_170905F,RXNORM_18AB_190401F,1,104407,RxNorm,2024-02-05
104408,RXNORM_17AA_170905F,RXNORM_18AB_190401F,1,104408,RxNorm,2024-02-05
104409,RXNORM_17AA_170905F,RXNORM_18AB_190401F,1,104409,RxNorm,2024-02-05
104410,RXNORM_04AC_050210F,RXNORM_08AB_090302F,1,830979,RxNorm,2024-02-05
104455,RXNORM_15AB_160404F,RXNORM_15AB_160404F,1,104455,RxNorm,2024-02-05
104458,RXNORM_05AA_050617F,RXNORM_09AA_090504F,1,849816,RxNorm,2024-02-05
104459,RXNORM_12AB_121105F,RXNORM_12AB_121105F,1,104459,RxNorm,2024-02-05
104460,RXNORM_12AB_121203F,RXNORM_12AB_121203F,1,104460,RxNorm,2024-02-05
104461,RXNORM_12AB_121203F,RXNORM_12AB_121203F,1,104461,RxNorm,2024-02-05
104508,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,104508,RxNorm,2024-02-05
104509,RXNORM_04AC_050210F,RXNORM_09AA_090803F,1,859091,RxNorm,2024-02-05
104510,RXNORM_17AA_170905F,RXNORM_18AB_190107F,1,104510,RxNorm,2024-02-05
104511,RXNORM_11AA_111107F,RXNORM_11AA_111107F,1,795354,RxNorm,2024-02-05
104512,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,104512,RxNorm,2024-02-05
104513,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,104513,RxNorm,2024-02-05
104515,RXNORM_17AA_170905F,RXNORM_18AB_190107F,1,104515,RxNorm,2024-02-05
104516,RXNORM_17AA_170905F,RXNORM_18AB_190107F,1,104516,RxNorm,2024-02-05
104517,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,104517,RxNorm,2024-02-05
